Name,Email,Url,Phone,Security,Status,Latency
Casa Xico,franciscarvalho@portugalmail.pt,https://www.facebook.com/profile.php?id=100043956236189,919373758,True,400,0.33
Restaurante Conga Casa das Bifanas,restauranteconga@hotmail.com,https://www.facebook.com/congacasadasbifanas,222000113,True,400,0.22
Radiantalecrim unipessoal Lda,Radiantalecrim@gmail.com,https://www.instagram.com/marianushamburgueriaartesanal/,927511786,True,200,0.27
Mão Travessa,ardeportugal@gmail.com,http://www.facebook.com/maotravessa1/info/?tab=page_info,Not Listed,True,400,0.28
G`in & Tostas,ginetostas@gmail.com,http://www.facebook.com/pages/gin-tostas/1753740648184657?sk=timeline,Not Listed,True,400,0.2
Tasquinha Da Paula,Not Listed,http://www.facebook.com/pages/tasquinha-da-paula/455097101557639,222081446,True,400,0.17
Rua-Bar & Restaurante de Tapas,rua.tapas@gmail.com,http://www.facebook.com/ruatapas,Not Listed,True,400,0.19
ODE Porto Wine House,info@odewinehouse.com,http://www.facebook.com/odeportowinehouse,Not Listed,True,400,0.2
José Manuel Rocha Lda,tascabairro@gmail.com,http://www.facebook.com/tascabairro,Not Listed,True,400,0.29
Restaurante Esplanada do Molhe Lda,Not Listed,http://www.facebook.com/restaurantedomolhe,226154423,True,400,0.25
Arlindo Varela Matias Mirita,Not Listed,http://www.facebook.com/terradosgrovios,Not Listed,True,400,0.18
Manuel Ramos & Ribeiro Lda,la_cantinetta@hotmail.com,http://www.facebook.com/pages/la-cantinetta/379000885524756?id=379000885524756&sk=info,Not Listed,True,400,0.25
Tasquinha Rebelo,mariarebelo@tgmail.com,http://www.facebook.com/tasquinharebelo,918633458,True,400,0.22
Restaurante Sto António,restaurantesantoantonio22@gmail.com,http://www.facebook.com/restaurantestantonio/?ref=aymt_homepage_panel,229011882,True,400,0.21
Decomur Restauração Lda,Not Listed,http://www.facebook.com/decomurcafe,918420690,True,400,0.21
Louge Zhu Lda,loungezhu@hotmail.com,http://www.facebook.com/temakidlux.japones,Not Listed,True,400,0.21
Leitão no D`Ouro,leitaonodouro@gmail.com,http://www.instagram.com/leitao_no_douro,910805437,True,200,0.37
Emoji Sushi-Bar,emojisushibar@gmail.com,http://www.facebook.com/emojisushibar/,220124894,True,400,0.29
Fei Sun Unipessoal Lda,Not Listed,http://www.facebook.com/restaurante-tokyo-sushi-476035105823907,Not Listed,True,400,0.19
Restaurante Migalha,migalhasrestaurante@gmail.com,http://www.facebook.com/restaurante-migalhas-182732871775849/,913396946,True,400,0.2
Castro Cunha & Vieira Lda,Not Listed,http://www.facebook.com/caf%c3%a9-al%c3%a9m-douro-121831211201587/info/?entry_point=page_nav_about_item&tab=page_info,225021002,True,400,0.21
Tapas Bar 24,Not Listed,http://www.facebook.com/tapas-bar-24-503054233115333,917166616,True,400,0.22
Painel de Provas Lda,Not Listed,http://www.facebook.com/tascagourmet,Not Listed,True,400,0.23
Restaurante Hungry Biker,Not Listed,http://www.facebook.com/hungrybikercafe,927174181,True,400,0.19
Sopros & Gargalhadas Lda,Not Listed,http://www.facebook.com/portomeu,Not Listed,True,400,0.18
Péco No Mercado Unipessoal Lda,Not Listed,http://www.facebook.com/peco-no-mercado-mercado-da-foz-1579674082074107,226169263,True,400,0.22
Domo Sushi,domosushiporto@gmail.com,http://www.facebook.com/domosushiporto/info/?tab=page_info,Not Listed,True,400,0.24
O Porto dos Gatos Lda,Not Listed,http://www.facebook.com/o-porto-dos-gatos-1629503127084192,222452502,True,400,0.18
"Francesinhas Al Forno, Lda",francesinhasdabaixa@gmail.com,http://www.facebook.com/francesinhasalfornodabaixa,Not Listed,True,400,0.22
Degrau Arte,restaurantemedit@gmail.com,http://www.facebook.com/pages/category/mediterranean-restaurant/medit-restaurante-1652686158341505,Not Listed,True,400,0.21
Sardinha Alfandega,Not Listed,http://www.facebook.com/sardinhadalfandega/info/?tab=page_info,Not Listed,True,400,0.22
Bananeiro,Not Listed,http://www.facebook.com/restaurante-bananeiro-201493809871554,224029248,True,400,0.25
Hermínia Mimoso Unipessoal Lda,Not Listed,http://www.facebook.com/tabernastoantoniovirtudes,222055306,True,400,0.24
Praça 63,milton.tc83@gmail.com,http://www.facebook.com/praca63,916514824,True,400,0.21
