Name,Email,Url,Phone,Security,Status,Latency
Confeitaria Damião de Góis,Not Listed,NO WEBSITE,225020854,NULL,NO WEBSITE,NULL
Meu Calzone Club,info@meucalzoneclub.com,http://www.meucalzoneclub.com/,912902606,False,CONNECTION_REFUSED,999
Capim Dourado,info@capimdourado.pt,https://capimdourado.pt/,+351915500081,False,CONNECTION_REFUSED,999
Venham Mais 5 - Original,venhammais5.original@gmail.com,https://venham-mais-5-o-original.business.site/,220941990,True,404,0.33
Tex Mex Factory,texmex@texmex.pt,http://www.texmex.pt,221110195,False,CONNECTION_REFUSED,999
Dancing Street,ralmeida@douroacima.pt,http://www.issimo.pt,222080677,False,200,0.58
Aníbal Sousa Pinto Unipessoal Lda,Not Listed,http://anibal-dos-leitoes.negocio.site,915226453,False,404,0.3
Adega Típica da Cavada Nova,Not Listed,http://adega-tipica-da-cavada-nova.negocio.site,224081988,False,404,0.26
Júlião Gonçalves & Rosária Martinho Lda,Not Listed,http://gastronomia.oninet.pt/restaurante/restaurante.asp?codrestaurante=7286,963893699,False,CONNECTION_REFUSED,999
António Joaquim Silva Sucessores Lda,geral@escondidinho.com.pt,http://www.escondidinho.com.pt,222001079,False,200,0.59
KTM-Kendall Pinheiro Torres & Magalhães-Actividades de Restauração Lda,jlk.porto@gmail.com,http://www.netmenu.pt/oporto/,Not Listed,False,CONNECTION_REFUSED,999
Gomes Bateira & C Lda,dombrasas@netcabo.pt,http://www.dombrasas.com,225492009,False,200,1.5
Wish Restaurante & Sushi,geral@wishrestaurant.com,http://www.chefantoniovieira.com/wish,Not Listed,False,200,0.47
Mendi-Restaurante Indiano,Not Listed,http://www.netmenu.pt/mendi/,226091200,False,CONNECTION_REFUSED,999
Restaurante Cufra,mantonio@cufra.pt,http://www.cufra.pt,226172715,False,200,2.81
Mateus & Cunha Unipessoal Lda,restaurantequedadagua@hotmail.com,http://restaurantequedadagua.webs.com,229372425,False,CONNECTION_REFUSED,999
Best Ecran SA,Not Listed,http://www.istayhoteis.com,Not Listed,False,403,0.55
Restaurante Paparazzi,joanabaptista@hotmail.com,http://www.papa-razzi-foz.com,226155167,False,CONNECTION_REFUSED,999
Cozinha da Kaya,ferreira.olides@gmail.com,http://cozinhadakaya.wordpress.com/contactos/,916136967,True,410,0.18
Capim Dourado,info@capimdourado.pt,http://capimdourado.pt/,915500081,False,CONNECTION_REFUSED,999
Pão Quente Estrela Branca Lda,Not Listed,http://pao-quente-estrela-branca-lda.negocio.site,Not Listed,False,404,0.27
José Manuel Moreira Pinto,geral@restaurantetripeiro.com,http://www.restaurantetripeiro.com,Not Listed,False,CONNECTION_REFUSED,999
Churrasqueira Portuguesa do Amial Lda,Not Listed,http://www.churrasqueiraportuguesa.com/amial/contacto/index.php,228322603,False,200,1.16
Famous Dog,Not Listed,http://famousdog.pt/,965398350,False,200,0.36
Marafusta Unipessoal Lda,Not Listed,http://aegarciadeorta.pt,Not Listed,False,200,0.23
Soundwich Lda,soundwich@soundwich.pt,http://www.soundwich.pt,Not Listed,False,TIMEOUT,>5s
Rocky Neval Lda,josemagalhaesneves@gmail.com,http://www.rockypoint.com.pt,222010551,False,CONNECTION_REFUSED,999
Cafetaria 55,Not Listed,http://cafetaria55.negocio.site,224099838,False,404,0.25
Restaurante O Barroso,geral@obarroso.pt,http://www.obarroso.pt,224007327,False,CONNECTION_REFUSED,999
Praianorte-Hotelaria e Turismo Lda,alforno@netcabo.pt,http://www.dolivarestaurante.com/,Not Listed,False,CONNECTION_REFUSED,999
Encanto & Magia Unipessoal Lda,Not Listed,http://www.thegrillplace.net,220111379,False,CONNECTION_REFUSED,999
Guilty Porto Restauração Lda,guiltyporto@olivier.pt,http://restaurantesguilty.com/restaurante-guilty-porto,Not Listed,False,404,0.64
Dom Pito-Restauração Lda,Not Listed,http://dompito.pt,228300246,False,200,4.26
Trajetória Gulosa Unipessoal Lda,morabeza.boavista@gmail.com,http://encomendas.befood.pt/morabeza-boavista,226065247,False,ERROR_Exceeded 30 redirect,999
Central do Churrasco,octaviocentralchurrasco@hotmail.com,http://www.centralchurrasco.pt,224856482,False,200,0.44
Restaurante Ginjal Lda,geral@restauranteginjal.com,http://restauranteginjal.com,Not Listed,False,CONNECTION_REFUSED,999
Nomes Ocultos-Iniciativas de Lazer Lda,Not Listed,http://www.boinabrasa.com.pt,Not Listed,False,CONNECTION_REFUSED,999
Original e Convencional-Unipessoal Lda,Not Listed,http://maria-ines-restaurante-cozinha-sustentavel.negocio.site,Not Listed,False,404,0.28
Restaurante Tomaz do Douro,geral@tomazdodouro.com,http://www.cruzeirosriodouro.pt/,222082286,False,CONNECTION_REFUSED,999
Alves & Barradas Lda,umarosa@sapo.pt,http://www.umarosa-restaurante.com,Not Listed,False,CONNECTION_REFUSED,999
Hamburgueria House,geral@hamburgueriahouse.pt,http://hamburgueriahouse.pt,224052297,False,CONNECTION_REFUSED,999
Melodias & Paladares Lda,restaurantevintagekuadrant@gmail.com,http://www.restaurantevintagekuadrant.com,Not Listed,False,CONNECTION_REFUSED,999
Discover Porto-Gestão Hoteleira Lda,cafedocais@gmail.com,http://www.cafedocais.pt,Not Listed,False,CONNECTION_REFUSED,999
